Name,Toy,Fish,Type,Silver Equivalent,Gold Equivalent,Food condition,Date,Theme,Toy Size
Patches / Buchi-san,Cushion (pink),7,Silver,7,0.14,Bonito bitz,3/1/2016,Western style,Small
Willie / Kurotora-san,Scratching board,2,Silver,2,0.04,Bonito bitz,3/1/2016,Western style,Small
Gozer / Tobi-san,Soccer ball,5,Silver,5,0.1,Bonito bitz,3/1/2016,Western style,Small
Shadow / Haiiro-san,Ball of yarn,4,Silver,4,0.08,Bonito bitz,3/1/2016,Western style,Small
Bolt / Kijitora-san,Pillow (yellow),6,Silver,6,0.12,Bonito bitz,3/1/2016,Western style,Small
Bandit / Sabigara-san,Tent (modern red),2,Silver,2,0.04,Bonito bitz,3/1/2016,Western style,Small
Breezy / Shirokiji-san,Pillow (yellow),4,Silver,4,0.08,Bonito bitz,3/1/2016,Western style,Small
Marshmallow / Point-san,Cushion (pink),8,Silver,8,0.16,Bonito bitz,3/1/2016,Western style,Small
Mack / Shirotora-san,Stress reliever,5,Silver,5,0.1,Bonito bitz,3/1/2016,Western style,Small
Willie / Kurotora-san,Scratching board,4,Gold,200,4,Bonito bitz,3/1/2016,Western style,Small
Gozer / Tobi-san,Soccer ball,4,Silver,4,0.08,Bonito bitz,3/1/2016,Western style,Small
Shadow / Haiiro-san,Stress reliever,5,Gold,250,5,Bonito bitz,3/1/2016,Western style,Small
Willie / Kurotora-san,Scratching board,6,Silver,6,0.12,Bonito bitz,3/1/2016,Western style,Small
Breezy / Shirokiji-san,Pillow (yellow),4,Silver,4,0.08,Bonito bitz,3/1/2016,Western style,Small
Princess / Mugiwara-san,Ball of yarn,4,Silver,4,0.08,Bonito bitz,3/1/2016,Western style,Small
Misty / Sabatora-san,Cushion (pink),10,Silver,10,0.2,Bonito bitz,3/1/2016,Western style,Small
Fred / Chatora-san,Soccer ball,17,Silver,17,0.34,Bonito bitz,3/1/2016,Western style,Small
Bandit / Sabigara-san,Tent (modern red),1,Silver,1,0.02,Bonito bitz,3/1/2016,Western style,Small
Smokey / Kuroneko-san,Stress reliever,5,Silver,5,0.1,Bonito bitz,3/1/2016,Western style,Small
Bolt / Kijitora-san,Pillow (yellow),7,Silver,7,0.14,Bonito bitz,3/1/2016,Western style,Small
Snowball / Shironeko-san,Cat macaroon (green),4,Silver,4,0.08,Bonito bitz,3/1/2016,Western style,Small
Tabitha / Shimamike-san,Cat macaroon (pink),1,Silver,1,0.02,Bonito bitz,3/1/2016,Western style,Small
Socks / Kutsushita-san,Tent (modern red),2,Silver,2,0.04,Bonito bitz,3/1/2016,Western style,Small
Gabriel / Hachiware-san,Cardboard truck,7,Silver,7,0.14,Bonito bitz,3/1/2016,Western style,Small
Sunny / Tobimike-san,Soccer ball,2,Silver,2,0.04,Bonito bitz,3/1/2016,Western style,Small
Shadow / Haiiro-san,Ball of yarn,7,Silver,7,0.14,Bonito bitz,3/1/2016,Western style,Small
Snowball / Shironeko-san,Ball of yarn,1,Silver,1,0.02,Bonito bitz,3/1/2016,Western style,Small
Tabitha / Shimamike-san,Pillow (yellow),1,Silver,1,0.02,Bonito bitz,3/1/2016,Western style,Small
Smokey / Kuroneko-san,Stress reliever,1,Silver,1,0.02,Bonito bitz,3/1/2016,Western style,Small
Socks / Kutsushita-san,Scratching board,1,Silver,1,0.02,Bonito bitz,3/1/2016,Western style,Small
Gabriel / Hachiware-san,Soccer ball,1,Silver,1,0.02,Bonito bitz,3/1/2016,Western style,Small
Spots / Shirokuro-san,Tent (modern red),1,Silver,1,0.02,Bonito bitz,3/1/2016,Western style,Small
Sunny / Tobimike-san,Cardboard truck,1,Silver,1,0.02,Bonito bitz,3/1/2016,Western style,Small
Callie / Mike-san,Luxurious hammock,2,Silver,2,0.04,Bonito bitz,3/1/2016,Modern style,Small
Fred / Chatora-san,Art deco cat tree,4,Silver,4,0.08,Bonito bitz,3/1/2016,Modern style,Large
Dottie / Shiromike-san,Art deco cat tree,2,Silver,2,0.04,Bonito bitz,3/1/2016,Modern style,Large
Willie / Kurotora-san,Art deco cat tree,1,Silver,1,0.02,Bonito bitz,3/1/2016,Modern style,Large
Lexy / Haishiro-san,Hot mat (small),18,Silver,18,0.36,Bonito bitz,3/1/2016,Modern style,Small
Cocoa / Chahachi-san,Rubber ball (yellow),6,Silver,6,0.12,Bonito bitz,3/1/2016,Modern style,Small
Rascal / Haihachi-san,Art deco cat tree,1,Silver,1,0.02,Bonito bitz,3/1/2016,Modern style,Large
Pickles / Shirosaba-san,Wood pail,4,Silver,4,0.08,Bonito bitz,3/1/2016,Modern style,Small
Misty / Sabatora-san,Art deco cat tree,2,Gold,100,2,Bonito bitz,3/1/2016,Modern style,Large
Mack / Shirotora-san,Butterfly swarm,6,Silver,6,0.12,Bonito bitz,3/1/2016,Modern style,Small
Peaches / Cream-san,Twisty rail,18,Silver,18,0.36,Bonito bitz,3/1/2016,Modern style,Large
Tabitha / Shimamike-san,Luxurious hammock,4,Silver,4,0.08,Bonito bitz,3/1/2016,Modern style,Small
Smokey / Kuroneko-san,Paper bag,5,Silver,5,0.1,Bonito bitz,3/1/2016,Modern style,Small
Socks / Kutsushita-san,Wood pail,3,Silver,3,0.06,Bonito bitz,3/1/2016,Modern style,Small
Pickles / Shirosaba-san,Hot mat (small),6,Silver,6,0.12,Bonito bitz,3/1/2016,Modern style,Small
Shadow / Haiiro-san,Art deco cat tree,3,Silver,3,0.06,Bonito bitz,3/1/2016,Modern style,Large
Pumpkin / Shirochatora-san,Rubber ball (yellow),4,Silver,4,0.08,Bonito bitz,3/1/2016,Modern style,Small
Spooky / Haisabi-san,Butterfly swarm,6,Silver,6,0.12,Thrifty bitz,4/1/2016,Modern style,Small
Mack / Shirotora-san,Art deco cat tree,4,Silver,4,0.08,Thrifty bitz,4/1/2016,Modern style,Large
Snowball / Shironeko-san,Rubber ball (yellow),2,Silver,2,0.04,Thrifty bitz,4/1/2016,Modern style,Small
Tabitha / Shimamike-san,Rubber ball (yellow),5,Silver,5,0.1,Thrifty bitz,4/1/2016,Modern style,Small
Speckles / Kurobuchi-san,Art deco cat tree,5,Silver,5,0.1,Thrifty bitz,4/1/2016,Modern style,Large
Breezy / Shirokiji-san,Paper bag,4,Silver,4,0.08,Thrifty bitz,4/1/2016,Modern style,Small
Spooky / Haisabi-san,Butterfly swarm,3,Silver,3,0.06,Thrifty bitz,4/1/2016,Modern style,Small
Callie / Mike-san,Hot mat (small),2,Silver,2,0.04,Thrifty bitz,4/1/2016,Modern style,Small
Conductor Whisker / Ekichou-san,Twisty rail,3,Gold,150,3,Thrifty bitz,4/1/2016,Modern style,Large
Gabriel / Hachiware-san,Art deco cat tree,2,Silver,2,0.04,Thrifty bitz,4/1/2016,Modern style,Large
Smokey / Kuroneko-san,Luxurious hammock,4,Silver,4,0.08,Thrifty bitz,4/1/2016,Modern style,Small
Spots / Shirokuro-san,Rubber ball (yellow),4,Silver,4,0.08,Thrifty bitz,4/1/2016,Modern style,Small
Spooky / Haisabi-san,Paper bag,5,Silver,5,0.1,Thrifty bitz,4/1/2016,Modern style,Small
Gabriel / Hachiware-san,Art deco cat tree,3,Silver,3,0.06,Thrifty bitz,4/1/2016,Modern style,Large
Breezy / Shirokiji-san,Rubber ball (yellow),2,Silver,2,0.04,Thrifty bitz,4/1/2016,Modern style,Small
Tabitha / Shimamike-san,Hot mat (small),4,Silver,4,0.08,Thrifty bitz,4/1/2016,Modern style,Small
Speckles / Kurobuchi-san,Art deco cat tree,1,Silver,1,0.02,Thrifty bitz,4/1/2016,Modern style,Large
Dottie / Shiromike-san,Art deco cat tree,2,Silver,2,0.04,Thrifty bitz,4/1/2016,Modern style,Large
Conductor Whisker / Ekichou-san,Twisty rail,25,Silver,25,0.5,Thrifty bitz,4/1/2016,Modern style,Large
Sunny / Tobimike-san,Paper bag,2,Silver,2,0.04,Thrifty bitz,4/1/2016,Modern style,Small
Smokey / Kuroneko-san,Twisty rail,7,Silver,7,0.14,Thrifty bitz,4/1/2016,Modern style,Large
Pumpkin / Shirochatora-san,Rubber ball (yellow),4,Silver,4,0.08,Thrifty bitz,4/1/2016,Modern style,Small
Dottie / Shiromike-san,Art deco cat tree,1,Silver,1,0.02,Thrifty bitz,4/1/2016,Modern style,Large
Shadow / Haiiro-san,Wood pail,4,Silver,4,0.08,Thrifty bitz,4/1/2016,Modern style,Small
Fred / Chatora-san,Art deco cat tree,10,Silver,10,0.2,Thrifty bitz,4/1/2016,Modern style,Large
Spots / Shirokuro-san,Luxurious hammock,5,Silver,5,0.1,Thrifty bitz,4/1/2016,Modern style,Small
Pumpkin / Shirochatora-san,Hot mat (small),4,Silver,4,0.08,Thrifty bitz,4/1/2016,Modern style,Small
Spooky / Haisabi-san,Butterfly swarm,5,Gold,250,5,Thrifty bitz,4/1/2016,Modern style,Small
Callie / Mike-san,Hot mat (small),3,Silver,3,0.06,Thrifty bitz,4/1/2016,Modern style,Small
Gozer / Tobi-san,Art deco cat tree,4,Silver,4,0.08,Thrifty bitz,4/1/2016,Modern style,Large
Smokey / Kuroneko-san,Art deco cat tree,3,Silver,3,0.06,Thrifty bitz,4/1/2016,Modern style,Large
Fred / Chatora-san,Art deco cat tree,11,Silver,11,0.22,Thrifty bitz,4/1/2016,Modern style,Large
Snowball / Shironeko-san,Luxurious hammock,6,Silver,6,0.12,Thrifty bitz,4/1/2016,Modern style,Small
Shadow / Haiiro-san,Art deco cat tree,1,Silver,1,0.02,Thrifty bitz,4/1/2016,Modern style,Large
Gabriel / Hachiware-san,Hot mat (small),6,Silver,6,0.12,Thrifty bitz,4/1/2016,Modern style,Small
Sunny / Tobimike-san,Twisty rail,4,Silver,4,0.08,Thrifty bitz,4/1/2016,Modern style,Large
Tabitha / Shimamike-san,Luxurious hammock,2,Silver,2,0.04,Thrifty bitz,4/1/2016,Modern style,Small
Cocoa / Chahachi-san,Hot mat (small),4,Silver,4,0.08,Thrifty bitz,4/1/2016,Modern style,Small
Callie / Mike-san,Luxurious hammock,3,Silver,3,0.06,Thrifty bitz,4/1/2016,Modern style,Small
Spooky / Haisabi-san,Paper bag,6,Silver,6,0.12,Thrifty bitz,4/1/2016,Modern style,Small
Tabitha / Shimamike-san,Rubber ball (yellow),5,Silver,5,0.1,Thrifty bitz,4/1/2016,Modern style,Small
Fred / Chatora-san,Art deco cat tree,5,Silver,5,0.1,Thrifty bitz,4/1/2016,Modern style,Large
Smokey / Kuroneko-san,Art deco cat tree,3,Silver,3,0.06,Thrifty bitz,4/1/2016,Modern style,Large
Shadow / Haiiro-san,Art deco cat tree,4,Silver,4,0.08,Thrifty bitz,4/1/2016,Modern style,Large
Dottie / Shiromike-san,Art deco cat tree,2,Silver,2,0.04,Thrifty bitz,4/1/2016,Modern style,Large
Spooky / Haisabi-san,Butterfly swarm,8,Silver,8,0.16,Thrifty bitz,4/1/2016,Modern style,Small
Smokey / Kuroneko-san,Art deco cat tree,2,Silver,2,0.04,Thrifty bitz,4/1/2016,Modern style,Large
Conductor Whisker / Ekichou-san,Twisty rail,32,Silver,32,0.64,Thrifty bitz,4/1/2016,Modern style,Large
Snowball / Shironeko-san,Paper bag,2,Silver,2,0.04,Thrifty bitz,4/1/2016,Modern style,Small
Sunny / Tobimike-san,Twisty rail,3,Silver,3,0.06,Thrifty bitz,4/1/2016,Modern style,Large
Pumpkin / Shirochatora-san,Hot mat (small),7,Silver,7,0.14,Thrifty bitz,4/1/2016,Modern style,Small
Speckles / Kurobuchi-san,Art deco cat tree,4,Silver,4,0.08,Thrifty bitz,4/1/2016,Modern style,Large
Tabitha / Shimamike-san,Paper bag,1,Silver,1,0.02,Thrifty bitz,4/1/2016,Modern style,Small
Shadow / Haiiro-san,Butterfly swarm,4,Silver,4,0.08,Thrifty bitz,4/1/2016,Modern style,Small
Callie / Mike-san,Luxurious hammock,2,Silver,2,0.04,Thrifty bitz,4/1/2016,Modern style,Small
Spooky / Haisabi-san,Butterfly swarm,4,Silver,4,0.08,Thrifty bitz,4/1/2016,Modern style,Small
Gozer / Tobi-san,Butterfly swarm,4,Silver,4,0.08,Thrifty bitz,4/1/2016,Modern style,Small
Spooky / Haisabi-san,Wood pail,5,Silver,5,0.1,Thrifty bitz,4/1/2016,Modern style,Small
Breezy / Shirokiji-san,Twisty rail,4,Silver,4,0.08,Thrifty bitz,4/1/2016,Modern style,Large
Speckles / Kurobuchi-san,Art deco cat tree,3,Silver,3,0.06,Thrifty bitz,4/1/2016,Modern style,Large
Dottie / Shiromike-san,Art deco cat tree,2,Silver,2,0.04,Thrifty bitz,4/1/2016,Modern style,Large
Socks / Kutsushita-san,Rubber ball (yellow),6,Silver,6,0.12,Thrifty bitz,5/1/2016,Modern style,Small
Conductor Whisker / Ekichou-san,Twisty rail,28,Silver,28,0.56,Thrifty bitz,5/1/2016,Modern style,Large
Pumpkin / Shirochatora-san,Hot mat (small),3,Silver,3,0.06,Thrifty bitz,5/1/2016,Modern style,Small
Gabriel / Hachiware-san,Art deco cat tree,3,Silver,3,0.06,Thrifty bitz,5/1/2016,Modern style,Large
Tabitha / Shimamike-san,Luxurious hammock,3,Silver,3,0.06,Thrifty bitz,5/1/2016,Modern style,Small
Dottie / Shiromike-san,Art deco cat tree,2,Silver,2,0.04,Thrifty bitz,5/1/2016,Modern style,Large
Callie / Mike-san,Wood pail,2,Silver,2,0.04,Thrifty bitz,5/1/2016,Modern style,Small
Spooky / Haisabi-san,Paper bag,5,Silver,5,0.1,Thrifty bitz,5/1/2016,Modern style,Small
Spots / Shirokuro-san,Luxurious hammock,2,Silver,2,0.04,Thrifty bitz,5/1/2016,Modern style,Small
Shadow / Haiiro-san,Butterfly swarm,8,Silver,8,0.16,Thrifty bitz,5/1/2016,Modern style,Small
Snowball / Shironeko-san,Wood pail,1,Silver,1,0.02,Bonito bitz,5/1/2016,Modern style,Small
Breezy / Shirokiji-san,Rubber ball (yellow),2,Silver,2,0.04,Bonito bitz,5/1/2016,Modern style,Small
Marshmallow / Point-san,Hot mat (small),4,Silver,4,0.08,Bonito bitz,5/1/2016,Modern style,Small
Dottie / Shiromike-san,Art deco cat tree,3,Silver,3,0.06,Bonito bitz,5/1/2016,Modern style,Large
Fred / Chatora-san,Art deco cat tree,7,Silver,7,0.14,Bonito bitz,5/1/2016,Modern style,Large
Lexy / Haishiro-san,Art deco cat tree,10,Silver,10,0.2,Bonito bitz,5/1/2016,Modern style,Large
Mack / Shirotora-san,Paper bag,3,Silver,3,0.06,Bonito bitz,5/1/2016,Modern style,Small
Callie / Mike-san,Luxurious hammock,2,Silver,2,0.04,Bonito bitz,5/1/2016,Modern style,Small
Sunny / Tobimike-san,Twisty rail,5,Gold,250,5,Bonito bitz,5/1/2016,Modern style,Large
Rascal / Haihachi-san,Art deco cat tree,1,Silver,1,0.02,Bonito bitz,5/1/2016,Modern style,Large
Bolt / Kijitora-san,Wood pail,3,Silver,3,0.06,Bonito bitz,5/1/2016,Modern style,Small
Misty / Sabatora-san,Art deco cat tree,7,Silver,7,0.14,Bonito bitz,5/1/2016,Modern style,Large
Tabitha / Shimamike-san,Luxurious hammock,3,Silver,3,0.06,Bonito bitz,5/1/2016,Modern style,Small
Pumpkin / Shirochatora-san,Rubber ball (yellow),2,Silver,2,0.04,Bonito bitz,5/1/2016,Modern style,Small
Speckles / Kurobuchi-san,Hot mat (small),8,Silver,8,0.16,Bonito bitz,5/1/2016,Modern style,Small
Socks / Kutsushita-san,Rubber ball (yellow),4,Silver,4,0.08,Bonito bitz,5/1/2016,Modern style,Small
Smokey / Kuroneko-san,Twisty rail,9,Silver,9,0.18,Bonito bitz,5/1/2016,Modern style,Large
Socks / Kutsushita-san,Art deco cat tree,1,Silver,1,0.02,Bonito bitz,5/1/2016,Modern style,Large
Snowball / Shironeko-san,Paper bag,5,Gold,250,5,Bonito bitz,5/1/2016,Modern style,Small
Gozer / Tobi-san,Butterfly swarm,3,Gold,150,3,Bonito bitz,5/1/2016,Modern style,Small
Shadow / Haiiro-san,Art deco cat tree,3,Silver,3,0.06,Bonito bitz,5/1/2016,Modern style,Large
Misty / Sabatora-san,Wood pail,5,Silver,5,0.1,Bonito bitz,5/1/2016,Modern style,Small
Spots / Shirokuro-san,Rubber ball (yellow),6,Silver,6,0.12,Bonito bitz,5/1/2016,Modern style,Small
Mack / Shirotora-san,Art deco cat tree,5,Gold,250,5,Bonito bitz,5/1/2016,Modern style,Large
Lexy / Haishiro-san,Art deco cat tree,5,Silver,5,0.1,Bonito bitz,5/1/2016,Modern style,Large
Marshmallow / Point-san,Hot mat (small),8,Silver,8,0.16,Bonito bitz,5/1/2016,Modern style,Small
Fred / Chatora-san,Art deco cat tree,6,Silver,6,0.12,Bonito bitz,5/1/2016,Modern style,Large
Spooky / Haisabi-san,Butterfly swarm,5,Silver,5,0.1,Bonito bitz,5/1/2016,Modern style,Small
Pickles / Shirosaba-san,Paper bag,11,Silver,11,0.22,Bonito bitz,5/1/2016,Modern style,Small
Patches / Buchi-san,Luxurious hammock,9,Silver,9,0.18,Bonito bitz,5/1/2016,Modern style,Small
Pepper / Odd-san,Twisty rail,6,Silver,6,0.12,Bonito bitz,5/1/2016,Modern style,Large
Pumpkin / Shirochatora-san,Hot mat (small),2,Silver,2,0.04,Bonito bitz,5/1/2016,Modern style,Small
Dottie / Shiromike-san,Art deco cat tree,2,Silver,2,0.04,Bonito bitz,5/1/2016,Modern style,Large
Gozer / Tobi-san,Art deco cat tree,1,Silver,1,0.02,Bonito bitz,5/1/2016,Modern style,Large
Callie / Mike-san,Wood pail,2,Silver,2,0.04,Bonito bitz,5/1/2016,Modern style,Small
Socks / Kutsushita-san,Paper bag,3,Silver,3,0.06,Bonito bitz,5/1/2016,Modern style,Small
Tabitha / Shimamike-san,Butterfly swarm,7,Silver,7,0.14,Bonito bitz,5/1/2016,Modern style,Small
Speckles / Kurobuchi-san,Art deco cat tree,5,Silver,5,0.1,Bonito bitz,5/1/2016,Modern style,Large
Cocoa / Chahachi-san,Rubber ball (yellow),6,Silver,6,0.12,Bonito bitz,5/1/2016,Modern style,Small
Shadow / Haiiro-san,Luxurious hammock,3,Silver,3,0.06,Bonito bitz,5/1/2016,Modern style,Small
Sunny / Tobimike-san,Twisty rail,3,Silver,3,0.06,Bonito bitz,5/1/2016,Modern style,Large
Gabriel / Hachiware-san,Hot mat (small),5,Silver,5,0.1,Bonito bitz,5/1/2016,Modern style,Small
Breezy / Shirokiji-san,Paper bag,2,Silver,2,0.04,Bonito bitz,5/1/2016,Modern style,Small
Rascal / Haihachi-san,Art deco cat tree,2,Silver,2,0.04,Bonito bitz,5/1/2016,Modern style,Large
Smokey / Kuroneko-san,Art deco cat tree,3,Silver,3,0.06,Bonito bitz,5/1/2016,Modern style,Large
Lexy / Haishiro-san,Art deco cat tree,10,Silver,10,0.2,Bonito bitz,5/1/2016,Modern style,Large
Fred / Chatora-san,Art deco cat tree,8,Silver,8,0.16,Bonito bitz,5/1/2016,Modern style,Large
Willie / Kurotora-san,Art deco cat tree,2,Gold,100,2,Bonito bitz,5/1/2016,Modern style,Large
Mack / Shirotora-san,Butterfly swarm,5,Silver,5,0.1,Bonito bitz,5/1/2016,Modern style,Small
Pumpkin / Shirochatora-san,Rubber ball (yellow),3,Silver,3,0.06,Bonito bitz,5/1/2016,Modern style,Small
Callie / Mike-san,Wood pail,2,Gold,100,2,Bonito bitz,5/1/2016,Modern style,Small
Spots / Shirokuro-san,Luxurious hammock,4,Silver,4,0.08,Bonito bitz,5/1/2016,Modern style,Small
Misty / Sabatora-san,Art deco cat tree,2,Silver,2,0.04,Bonito bitz,5/1/2016,Modern style,Large
Socks / Kutsushita-san,Paper bag,3,Gold,150,3,Bonito bitz,5/1/2016,Modern style,Small
Marshmallow / Point-san,Hot mat (small),6,Silver,6,0.12,Bonito bitz,5/1/2016,Modern style,Small
Speckles / Kurobuchi-san,Art deco cat tree,1,Silver,1,0.02,Bonito bitz,5/1/2016,Modern style,Large
Sunny / Tobimike-san,Twisty rail,2,Silver,2,0.04,Bonito bitz,5/1/2016,Modern style,Large
Snowball / Shironeko-san,Art deco cat tree,2,Silver,2,0.04,Bonito bitz,5/1/2016,Modern style,Large
Gozer / Tobi-san,Butterfly swarm,3,Silver,3,0.06,Bonito bitz,5/1/2016,Modern style,Small
Spooky / Haisabi-san,Butterfly swarm,5,Silver,5,0.1,Frisky bitz,6/1/2016,Modern style,Small
Callie / Mike-san,Wood pail,1,Silver,1,0.02,Frisky bitz,6/1/2016,Modern style,Small
Mack / Shirotora-san,Butterfly swarm,6,Gold,300,6,Frisky bitz,6/1/2016,Modern style,Small
Spooky / Haisabi-san,Wood pail,4,Silver,4,0.08,Frisky bitz,6/1/2016,Modern style,Small
Shadow / Haiiro-san,Rubber ball (yellow),4,Silver,4,0.08,Frisky bitz,6/1/2016,Modern style,Small
Snowball / Shironeko-san,Paper bag,4,Silver,4,0.08,Frisky bitz,6/1/2016,Modern style,Small
Fred / Chatora-san,Hot mat (small),18,Silver,18,0.36,Frisky bitz,6/1/2016,Modern style,Small
Pepper / Odd-san,Twisty rail,8,Silver,8,0.16,Frisky bitz,6/1/2016,Modern style,Large
Smokey / Kuroneko-san,Art deco cat tree,2,Silver,2,0.04,Frisky bitz,6/1/2016,Modern style,Large
Cocoa / Chahachi-san,Luxurious hammock,6,Silver,6,0.12,Frisky bitz,6/1/2016,Modern style,Small
Misty / Sabatora-san,Art deco cat tree,5,Silver,5,0.1,Frisky bitz,6/1/2016,Modern style,Large
Gabriel / Hachiware-san,Art deco cat tree,2,Silver,2,0.04,Frisky bitz,6/1/2016,Modern style,Large
Breezy / Shirokiji-san,Paper bag,1,Silver,1,0.02,Frisky bitz,6/1/2016,Modern style,Small
Speckles / Kurobuchi-san,Art deco cat tree,3,Silver,3,0.06,Frisky bitz,6/1/2016,Modern style,Large
Bolt / Kijitora-san,Wood pail,4,Silver,4,0.08,Frisky bitz,6/1/2016,Modern style,Small
Pumpkin / Shirochatora-san,Hot mat (small),4,Silver,4,0.08,Frisky bitz,6/1/2016,Modern style,Small
Smokey / Kuroneko-san,Art deco cat tree,3,Silver,3,0.06,Frisky bitz,6/1/2016,Modern style,Large
Spud / Akasabi-san,Twisty rail,7,Gold,350,7,Frisky bitz,6/1/2016,Modern style,Large
Lexy / Haishiro-san,Art deco cat tree,5,Silver,5,0.1,Frisky bitz,6/1/2016,Modern style,Large
Spooky / Haisabi-san,Butterfly swarm,6,Silver,6,0.12,Frisky bitz,6/1/2016,Modern style,Small
Dottie / Shiromike-san,Luxurious hammock,3,Silver,3,0.06,Frisky bitz,6/1/2016,Modern style,Small
Callie / Mike-san,Wood pail,2,Silver,2,0.04,Frisky bitz,6/1/2016,Modern style,Small
Shadow / Haiiro-san,Art deco cat tree,5,Silver,5,0.1,Frisky bitz,6/1/2016,Modern style,Large
Breezy / Shirokiji-san,Paper bag,3,Silver,3,0.06,Frisky bitz,6/1/2016,Modern style,Small
Cocoa / Chahachi-san,Hot mat (small),5,Silver,5,0.1,Frisky bitz,6/1/2016,Modern style,Small
Spots / Shirokuro-san,Rubber ball (yellow),4,Silver,4,0.08,Frisky bitz,6/1/2016,Modern style,Small
Gozer / Tobi-san,Art deco cat tree,1,Silver,1,0.02,Frisky bitz,6/1/2016,Modern style,Large
Sunny / Tobimike-san,Paper bag,1,Silver,1,0.02,Frisky bitz,6/1/2016,Modern style,Small
Pickles / Shirosaba-san,Hot mat (small),11,Silver,11,0.22,Frisky bitz,6/1/2016,Modern style,Small
Fred / Chatora-san,Art deco cat tree,8,Silver,8,0.16,Frisky bitz,6/1/2016,Modern style,Large
Spud / Akasabi-san,Twisty rail,1,Silver,1,0.02,Frisky bitz,6/1/2016,Modern style,Large
Gozer / Tobi-san,Butterfly swarm,6,Silver,6,0.12,Frisky bitz,6/1/2016,Modern style,Small
Smokey / Kuroneko-san,Art deco cat tree,2,Silver,2,0.04,Frisky bitz,6/1/2016,Modern style,Large
Lexy / Haishiro-san,Art deco cat tree,8,Silver,8,0.16,Frisky bitz,6/1/2016,Modern style,Large
Gabriel / Hachiware-san,Art deco cat tree,2,Silver,2,0.04,Frisky bitz,6/1/2016,Modern style,Large
Pepper / Odd-san,Hot mat (small),2,Silver,2,0.04,Frisky bitz,6/1/2016,Modern style,Small
Cocoa / Chahachi-san,Art deco cat tree,3,Silver,3,0.06,Frisky bitz,6/1/2016,Modern style,Large
Tabitha / Shimamike-san,Luxurious hammock,5,Silver,5,0.1,Frisky bitz,6/1/2016,Modern style,Small
Shadow / Haiiro-san,Wood pail,4,Silver,4,0.08,Frisky bitz,6/1/2016,Modern style,Small
Tubbs / Manzoku-san,Frisky bitz,46,Silver,46,0.92,Frisky bitz,6/1/2016,Modern style,N/A
Gabriel / Hachiware-san,Art deco cat tree,1,Silver,1,0.02,Frisky bitz,6/1/2016,Modern style,Large
Lexy / Haishiro-san,Art deco cat tree,11,Silver,11,0.22,Frisky bitz,6/1/2016,Modern style,Large
Pumpkin / Shirochatora-san,Rubber ball (yellow),5,Silver,5,0.1,Frisky bitz,6/1/2016,Modern style,Small
Peaches / Cream-san,Twisty rail,13,Silver,13,0.26,Frisky bitz,6/1/2016,Modern style,Large
Tabitha / Shimamike-san,Luxurious hammock,7,Silver,7,0.14,Frisky bitz,6/1/2016,Modern style,Small
Speckles / Kurobuchi-san,Art deco cat tree,2,Silver,2,0.04,Frisky bitz,6/1/2016,Modern style,Large
Misty / Sabatora-san,Art deco cat tree,3,Silver,3,0.06,Frisky bitz,6/1/2016,Modern style,Large
Smokey / Kuroneko-san,Art deco cat tree,1,Silver,1,0.02,Frisky bitz,6/1/2016,Modern style,Large
Snowball / Shironeko-san,Art deco cat tree,1,Silver,1,0.02,Frisky bitz,6/1/2016,Modern style,Large
Pickles / Shirosaba-san,Tunnel (3D piece),6,Silver,6,0.12,Deluxe tuna bitz,6/1/2016,Modern style,Large
Bolt / Kijitora-san,Beach umbrella,7,Silver,7,0.14,Deluxe tuna bitz,6/1/2016,Modern style,Large
Gabriel / Hachiware-san,Beach umbrella,3,Silver,3,0.06,Deluxe tuna bitz,6/1/2016,Modern style,Large
Spots / Shirokuro-san,Tunnel (3D piece),2,Silver,2,0.04,Deluxe tuna bitz,6/1/2016,Modern style,Large
Ginger / Akage-san,Cake box,4,Silver,4,0.08,Deluxe tuna bitz,6/1/2016,Modern style,Small
Shadow / Haiiro-san,Rubber ball (blue),6,Silver,6,0.12,Deluxe tuna bitz,6/1/2016,Modern style,Small
Princess / Mugiwara-san,Beach umbrella,1,Silver,1,0.02,Deluxe tuna bitz,6/1/2016,Modern style,Large
Sunny / Tobimike-san,Tunnel (3D piece),1,Silver,1,0.02,Deluxe tuna bitz,6/1/2016,Modern style,Large
Socks / Kutsushita-san,Tunnel (3D piece),3,Silver,3,0.06,Deluxe tuna bitz,6/1/2016,Modern style,Large
Marshmallow / Point-san,Bean bag,11,Silver,11,0.22,Deluxe tuna bitz,6/1/2016,Modern style,Small
Gozer / Tobi-san,Wild-thing teaser,5,Silver,5,0.1,Deluxe tuna bitz,6/1/2016,Modern style,Small
Bandit / Sabigara-san,Tunnel (3D piece),1,Silver,1,0.02,Deluxe tuna bitz,6/1/2016,Modern style,Large
Lexy / Haishiro-san,Bean bag,8,Silver,8,0.16,Deluxe tuna bitz,6/1/2016,Modern style,Small
Cocoa / Chahachi-san,Rubber ball (blue),3,Silver,3,0.06,Deluxe tuna bitz,6/1/2016,Modern style,Small
Pepper / Odd-san,Clay pot,2,Silver,2,0.04,Deluxe tuna bitz,6/1/2016,Modern style,Small
Misty / Sabatora-san,Cake box,4,Silver,4,0.08,Deluxe tuna bitz,6/1/2016,Modern style,Small
Mack / Shirotora-san,Tunnel (3D piece),1,Silver,1,0.02,Deluxe tuna bitz,6/1/2016,Modern style,Large
